# Ghia, Ghia & Shin (1982), J. Comput. Phys. 48, 387-411, Table I
# u-velocity along the VERTICAL line through the geometric centre (x = 0.5)
# Transcribed from the paper via OCR and digit-by-digit cross-checked.
# OCR renders minus signs as 'a.', 'AI.', 'XJ.' and splits digits; both fixed.
# VERIFY against your own copy before publishing error metrics.
y,Re100,Re400,Re1000
1.0000,1.00000,1.00000,1.00000
0.9766,0.84123,0.75837,0.65928
0.9688,0.78871,0.68439,0.57492
0.9609,0.73722,0.61756,0.51117
0.9531,0.68717,0.55892,0.46604
0.8516,0.23151,0.29093,0.33304
0.7344,0.00332,0.16256,0.18719
0.6172,-0.13641,0.02135,0.05702
0.5000,-0.20581,-0.11477,-0.06080
0.4531,-0.21090,-0.17119,-0.10648
0.2813,-0.15662,-0.32726,-0.27805
0.1719,-0.10150,-0.24299,-0.38289
0.1016,-0.06434,-0.14612,-0.29730
0.0703,-0.04775,-0.10338,-0.22220
0.0625,-0.04192,-0.09266,-0.20196
0.0547,-0.03717,-0.08186,-0.18109
0.0000,0.00000,0.00000,0.00000
