# Ghia, Ghia & Shin (1982), J. Comput. Phys. 48, 387-411, Table II
# v-velocity along the HORIZONTAL line through the geometric centre (y = 0.5)
# NOTE: the paper's printed heading reads "u-Velocity"; the quantity is v.
# Transcribed via OCR and cross-checked. VERIFY against your own copy.
x,Re100,Re400,Re1000
1.0000,0.00000,0.00000,0.00000
0.9688,-0.05906,-0.12146,-0.21388
0.9609,-0.07391,-0.15663,-0.27669
0.9531,-0.08864,-0.19254,-0.33714
0.9453,-0.10313,-0.22847,-0.39188
0.9063,-0.16914,-0.23827,-0.51550
0.8594,-0.22445,-0.44993,-0.42665
0.8047,-0.24533,-0.38598,-0.31966
0.5000,0.05454,0.05188,0.02526
0.2344,0.17527,0.30174,0.32235
0.2266,0.17507,0.30203,0.33075
0.1563,0.16077,0.28124,0.37095
0.0938,0.12317,0.22965,0.32627
0.0781,0.10890,0.20920,0.30353
0.0703,0.10091,0.19713,0.29012
0.0625,0.09233,0.18360,0.27485
0.0000,0.00000,0.00000,0.00000
